"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"584099","occ","","","22652","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Campanian","","83.6","72.1","17718","-113.750000","48.630001"
"584101","occ","","","22689","Hypsilophodontidae indet.","unranked clade","38734","","Hypsilophodontidae","unranked clade","38734","Late Santonian","Early Campanian","85.8","70.6","17718","-113.750000","48.633301"
"584102","occ","","","22689","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Late Santonian","Early Campanian","85.8","70.6","17718","-113.750000","48.633301"
"584106","occ","","","22691","Hypsilophodontidae indet.","unranked clade","38734","","Hypsilophodontidae","unranked clade","38734","Campanian","","83.6","72.1","17718","-112.701118","48.479202"
"584107","occ","","","22691","Pachycephalosauridae indet.","family","38783","","Pachycephalosauridae","family","38783","Campanian","","83.6","72.1","17718","-112.701118","48.479202"
"584108","occ","23382","","22693","Rubeosaurus ovatus","species","170628","","Rubeosaurus ovatus","species","56147","Campanian","","83.6","72.1","33790","-112.650002","48.966599"
"584109","occ","","","22694","Brachyceratops sp.","genus","63894","nomen dubium","Centrosaurinae","subfamily","53953","Campanian","","83.6","72.1","17718","-112.650002","48.966599"
"584110","occ","","","25658","Nodosauridae indet.","family","38817","","Nodosauridae","family","38817","Middle Campanian","","83.5","70.6","17718","-112.966667","48.650002"
"584111","occ","","","53043","Orodromeus cf. makelai","species","64338","","Orodromeus makelai","species","64338","Campanian","","83.6","72.1","17718","-112.642014","48.910820"
"584112","occ","","","53045","Nodosauridae indet.","family","38817","","Nodosauridae","family","38817","Campanian","","83.6","72.1","17718","-112.642014","48.910820"
"584115","occ","","","53048","Ankylosauridae indet.","family","38831","","Ankylosauridae","family","38831","Campanian","","83.6","72.1","17718","-113.750000","48.630001"
"584116","occ","","","59373","Ankylosauridae indet.","family","38831","","Ankylosauridae","family","38831","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584119","occ","","","59373","Centrosaurinae indet.","subfamily","53953","","Centrosaurinae","subfamily","53953","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584123","occ","","","59373","Einiosaurus procurvicornis","species","53954","","Einiosaurus procurvicornis","species","53954","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584124","occ","","","59373","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584125","occ","","","59373","Hypacrosaurus stebingeri","species","64339","","Hypacrosaurus stebingeri","species","64339","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584126","occ","","","59373","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584127","occ","","","59373","Nodosauridae indet.","family","38817","","Nodosauridae","family","38817","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584129","occ","","","59373","Pachycephalosauridae indet.","family","38783","","Pachycephalosauridae","family","38783","Campanian","","83.6","72.1","17718","-112.642403","48.935501"
"584133","occ","","","46468","Camptosaurus sp.","genus","38748","","Camptosaurus","genus","38748","Kimmeridgian","","157.3","152.1","17718","-107.779167","44.535557"
"584317","occ","","","58196","Psittacosaurus sp.","genus","38844","","Psittacosaurus","genus","38844","Late Barremian","Aptian","130","113","17739","106.274719","51.195557"
"585226","occ","35043","","61625","Platypelta coombsi","species","374255","","Platypelta coombsi","species","374255","Late Campanian","","83.5","70.6","66472","-111.494446","50.729443"
"585227","occ","","","61627","Euoplocephalus sp.","genus","38838","","Euoplocephalus","genus","38838","Late Campanian","","83.5","70.6","17500","-111.488899","50.742401"
"585231","occ","","","61628","Euoplocephalus sp.","genus","38838","","Euoplocephalus","genus","38838","Early Maastrichtian","","70.6","66","17500","-112.958298","51.775501"
"585235","occ","","","61631","Euoplocephalus sp.","genus","38838","","Euoplocephalus","genus","38838","Maastrichtian","","72.1","66","17500","-112.977776","48.638332"
"585499","occ","20778","IF","61677","n. gen. Deltapodus n. sp. brodricki","species","81830","","Deltapodus brodricki","species","81830","Aalenian","","174.1","170.3","17774","-0.598290","54.488918"
"586544","occ","","","14458","Ankylosauridae indet.","family","38831","","Ankylosauridae","family","38831","Judithian","","83.5","70.6","17857","-107.278099","42.854401"
"586545","occ","","","14458","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Judithian","","83.5","70.6","17857","-107.278099","42.854401"
"586546","occ","","","14458","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Judithian","","83.5","70.6","17857","-107.278099","42.854401"
"586547","occ","","","14458","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Judithian","","83.5","70.6","17857","-107.278099","42.854401"
"586548","occ","","","14433","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Judithian","","83.5","70.6","17857","-107.099998","43.200001"
"586549","occ","","","14433","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Judithian","","83.5","70.6","17857","-107.099998","43.200001"
"586578","occ","","","61844","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Early Campanian","","83.5","70.6","17858","-112.118614","37.634724"
"586579","occ","","","61844","Ankylosauridae ? indet.","family","38831","","Ankylosauridae","family","38831","Early Campanian","","83.5","70.6","17858","-112.118614","37.634724"
"586583","occ","","","61848","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Campanian","","83.6","72.1","17862","-108.743332","41.624443"
"586584","occ","","","61849","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Campanian","","83.6","72.1","17862","-108.975830","41.769444"
"586633","occ","35695","IF","61860","Caririchnium lotus","species","174139","","Caririchnium lotus","species","174139","Aptian","","125","113","68758","-2.257060","42.136742"
"587981","occ","","","61930","Heterodontosauridae indet.","family","38722","","Heterodontosauridae","family","38722","Berriasian","","145","139.8","17894","-0.309722","45.753613"
"587994","occ","19505","","27887","Dryosauridae indet.","family","38730","","Dryosauridae","family","38730","Late Campanian","Early Maastrichtian","83.5","66","24830","176.830002","-38.916199"
"588013","occ","","","61891","Heterodontosauridae indet.","family","38722","","Heterodontosauridae","family","38722","Bathonian","","168.3","166.1","17903","89.183334","55.650002"
"588027","occ","","","58199","Hypsilophodontidae indet.","unranked clade","38734","","Hypsilophodontidae","unranked clade","38734","Aptian","","125","113","17903","107.915276","50.675835"
"589423","occ","","","46875","cf. Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","Barremian","","129.4","125","17976","-1.410350","50.635109"
"589954","occ","","IF","52373","Tetrapodosaurus sp.","genus","63958","","Tetrapodosaurus","genus","63958","Middle Albian","","109","105.3","9716","-119.158333","54.016666"
"589955","occ","35729","IF","52351","Tetrapodosaurus sp.","genus","63958","","Tetrapodosaurus","genus","63958","Late Albian","","105.3","99.6","68933","-153.909729","69.007225"
"590221","occ","","","62317","Parasaurolophus sp.","genus","38766","","Parasaurolophus","genus","38766","Late Campanian","","83.5","70.6","18015","-108.109444","36.142776"
"590222","occ","","","62318","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.5","70.6","18015","-108.088333","36.103889"
"590223","occ","","","62317","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.5","70.6","18015","-108.109444","36.142776"
"590300","occ","","","62323","Pinacosaurus n. sp. ninghsiensis","species","67248","subjective synonym of","Pinacosaurus grangeri","species","52911","Late Cretaceous","","100.5","66","18019","106.028053","38.963333"
"590514","occ","","","62360","n. gen. Tanius n. sp. sinensis","species","53379","","Tanius sinensis","species","53379","Coniacian","Santonian","89.8","83.6","18021","120.622902","36.920399"
"590521","occ","19376","","62363","Nodosauridae indet.","family","38817","","Nodosauridae","family","38817","Campanian","","83.6","72.1","18019","120.516388","36.831112"
"591157","occ","","","62477","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.482224","36.633057"
"591158","occ","","","62478","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.411110","36.517223"
"591159","occ","","","62479","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.410553","36.522499"
"591160","occ","","","62480","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.290833","36.406113"
"591161","occ","","","62481","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.183609","36.281113"
"591162","occ","","","62483","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.120560","36.352779"
"591163","occ","","","62484","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.420280","36.704723"
"591164","occ","","","62485","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.059723","36.335835"
