"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"1149528","occ","","","146643","Pelorosaurus ? sp.","genus","38678","","Pelorosaurus","genus","38678","Aptian","Early Albian","125","109","47414","0.254722","52.308056"
"1151788","occ","","","147070","n. gen. Gannansaurus n. sp. sinensis","species","273050","","Gannansaurus sinensis","species","273050","Maastrichtian","","72.1","66","47488","114.806389","25.729168"
"1152347","occ","","","147178","n. gen. Overosaurus n. sp. paradasorum","species","273093","","Overosaurus paradasorum","species","273093","Santonian","","86.3","83.6","47497","-69.316391","-37.609722"
"1153480","occ","","","147575","n. gen. Tataouinea n. sp. hannibalis","species","273397","","Tataouinea hannibalis","species","273397","Early Albian","","112.03","109","47523","10.172222","32.676388"
"1162536","occ","","","59057","Rebbachisauridae indet.","unranked clade","57365","","Rebbachisauridae","unranked clade","57365","Late Albian","Early Cenomanian","105.3","93.5","47874","-4.007778","30.906389"
"1163673","occ","","I","149600","Brontopodus ? sp.","genus","67216","","Brontopodus","genus","67216","Late Kimmeridgian","","155.7","150.8","47928","7.007844","47.415409"
"1163674","occ","29796","IF","149601","Parabrontopodus ? sp.","genus","68971","","Parabrontopodus","genus","68971","Late Kimmeridgian","","155.7","150.8","50537","7.023803","47.403996"
"1163996","occ","","","149709","Melanorosauridae indet.","family","38646","","Melanorosauridae","family","38646","Hettangian","Sinemurian","201.3","190.8","28154","27.375278","-29.691389"
"1163997","occ","","","149710","Melanorosauridae indet.","family","38646","","Melanorosauridae","family","38646","Hettangian","Sinemurian","201.3","190.8","28154","27.425278","-30.184999"
"1163998","occ","29002","","149711","cf. Melanorosaurus sp.","genus","38648","","Melanorosaurus","genus","38648","Hettangian","Sinemurian","201.3","190.8","25375","27.400557","-29.801945"
"1163999","occ","","","149712","Thecodontosaurus n. sp. minimus","species","133364","","Thecodontosaurus minimus","species","133364","Hettangian","Sinemurian","201.3","190.8","28154","27.250000","-29.816668"
"1164000","occ","","","149713","Anchisauridae indet.","family","38635","","Anchisauridae","family","38635","Hettangian","Sinemurian","201.3","190.8","28154","27.530556","-30.496668"
"1164001","occ","","","149714","Anchisauridae ? indet.","family","38635","","Anchisauridae","family","38635","Sinemurian","","199.3","190.8","28154","28.049999","-28.883301"
"1164017","occ","","","142027","Camarasauridae indet.","family","38696","","Camarasauridae","family","38696","Early Valanginian","","140.2","136.4","33897","9.990000","52.270000"
"1164029","occ","","","149732","Plateosaurus sp.","genus","38644","","Plateosaurus","genus","38644","Late Triassic","","237","201.3","33897","9.932778","51.590279"
"1164059","occ","","IF","149751","n. gen. Tetrasauropus n. sp. unguiferus","species","77114","","Tetrasauropus unguiferus","species","77114","Carnian","Norian","237","208.5","28154","27.600000","-30.350000"
"1164062","occ","","","149752","cf. Massospondylus sp.","genus","38642","","Massospondylus","genus","38642","Norian","Rhaetian","228","201.3","25375","27.366667","-29.083332"
"1164071","occ","","","107097","cf. Massospondylus sp.","genus","38642","","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375","27.316668","-29.133333"
"1164073","occ","","","149753","cf. Massospondylus sp.","genus","38642","","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375","27.383333","-28.983334"
"1164075","occ","","","45796","Massospondylus sp.","genus","38642","","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375","27.799999","-30.616671"
"1164077","occ","","","149754","cf. Massospondylus sp.","genus","38642","","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375","28.316668","-28.683332"
"1170027","occ","","","150678","Titanosauridae indet.","family","38680","","Titanosauridae","family","38680","Campanian","Maastrichtian","83.6","66","39507","31.145000","16.695000"
"1170033","occ","","","150700","Cetiosaurus sp.","genus","38657","","Cetiosaurus","genus","38657","Early Bathonian","","167.7","164.7","48179","4.795187","49.659477"
