"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"1513996","occ","","","176564","Psilopterus lemoinei","species","181125","","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","35669","-68.966667","-50.349998"
"1513997","occ","","","176565","Psilopterus lemoinei","species","181125","","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","35669","-68.949997","-50.349998"
"1513998","occ","","","14211","Andrewsornis abotti","species","39464","species not entered","Andrewsornis","genus","39464","Deseadan","","29","21","35669","-67.488892","-45.234444"
"1513999","occ","","","206027","Procariama simplex","species","181130","","Procariama simplex","species","181130","Huayquerian","Montehermosan","9","4","35669","-66.835281","-26.966110"
"1514000","occ","","","157794","Procariama simplex","species","181130","","Procariama simplex","species","181130","Huayquerian","","9","6.8","35669","-66.066666","-26.799999"
"1514008","occ","","","206027","Mesembriornis incertus","species","181122","","Mesembriornis incertus","species","181121","Huayquerian","Montehermosan","9","4","35669","-66.835281","-26.966110"
"1514009","occ","","","211281","Phorusrhacidae indet.","family","39461","","Phorusrhacidae","family","39461","Lujanian","","0.781","0.012","72952","-57.166668","-33.166668"
"1514010","occ","","","211282","Psilopterus sp.","genus","39469","","Psilopterus","genus","39469","Lujanian","","0.781","0.012","72952","-57.556946","-33.073891"
"1514185","occ","","","176565","Phorusrhacos longissimus","species","181134","recombined as","Phororhacos longissimus","species","53570","Santacrucian","","17.5","16.3","72951","-68.949997","-50.349998"
"1514297","occ","","","50074","Physornis fortis","species","53596","","Physornis fortis","species","53596","Deseadan","","29","21","35669","-66.250000","-47.900002"
"1514298","occ","","","176566","Phorusrhacos longissimus","species","181134","recombined as","Phororhacos longissimus","species","53570","Santacrucian","","17.5","16.3","35669","-69.033333","-50.349998"
"1514299","occ","","","176566","Patagornis marshi","species","53566","","Patagornis marshi","species","53566","Santacrucian","","17.5","16.3","35669","-69.033333","-50.349998"
"1514300","occ","","","176566","Psilopterus lemoinei","species","181125","","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","35669","-69.033333","-50.349998"
"1514301","occ","","","176567","Psilopterus lemoinei","species","181125","","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","35669","-69.083336","-50.433334"
"1514302","occ","","","142533","Psilopterus lemoinei","species","181125","","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","35669","-69.116669","-51.200001"
"1514703","occ","","","15595","cf. Halcyornithidae indet.","family","39369","","Halcyornithidae","family","39369","Wasatchian","","55.8","50.3","73036","-77.400002","38.299999"
"1514707","occ","","","15595","cf. Limnofregata sp.","genus","39670","","Limnofregata","genus","39670","Wasatchian","","55.8","50.3","73038","-77.400002","38.299999"
"1514709","occ","","","15595","cf. Messelornis sp.","genus","241464","","Messelornis","genus","241464","Wasatchian","","55.8","50.3","73038","-77.400002","38.299999"
"1514711","occ","","","15595","cf. Eocypselidae indet.","family","142713","","Eocypselidae","family","142713","Wasatchian","","55.8","50.3","73038","-77.400002","38.299999"
"1514712","occ","","","15595","Eostrix n. sp. gulottai","species","423141","","Eostrix gulottai","species","423141","Wasatchian","","55.8","50.3","73038","-77.400002","38.299999"
"1514713","occ","","","15595","cf. Pulchrapollia sp.","genus","136453","","Pulchrapollia","genus","136453","Wasatchian","","55.8","50.3","73038","-77.400002","38.299999"
"1514763","occ","","","65036","Hesperornis sp. 2 informal","species","36620","species not entered","Hesperornis","genus","36620","Early Campanian","","83.5","70.6","73040","45.361301","51.247799"
"1514770","occ","","","68402","Phorusrhacidae ? indet.","family","39461","","Phorusrhacidae","family","39461","Langhian","","15.97","13.82","73043","-65.583336","-21.666668"
"1516164","occ","","","211632","Rhea sp.","genus","83729","","Rhea","genus","83729","Late Pleistocene","","0.126","0.0117","73155","-42.462223","-8.860833"
"1517552","occ","","","211926","Palaeeudyptes gunnari","species","92188","","Palaeeudyptes gunnari","species","92187","Lutetian","","47.8","41.3","73248","-56.597500","-64.240555"
"1518264","occ","","","180876","Chenoanas n. sp. asiatica","species","424137","","Chenoanas asiatica","species","424137","Serravallian","","13.82","11.62","73265","100.449997","43.466667"
"1518265","occ","","","28782","Chenoanas asiatica","species","424137","","Chenoanas asiatica","species","424137","Serravallian","","13.82","11.62","73265","113.118332","43.414722"
"1518266","occ","","","32191","Anas sansaniensis","species","367692","recombined as","Chenoanas sansaniensis","species","367692","Langhian","Serravallian","15.97","11.62","73265","0.612500","43.529167"
"1518267","occ","","","205812","Chenoanas sansaniensis","species","424138","","Chenoanas sansaniensis","species","367692","MN 5","","15.97","13.65","73265","107.188332","53.148335"
"1518476","occ","","","212185","Tyrannosauridae indet.","family","38606","","Tyrannosauridae","family","38606","Middle Campanian","Late Campanian","83.5","70.6","73277","-103.566101","29.297800"
"1518488","occ","","","212186","Chirostenotes sp.","genus","38555","","Chirostenotes","genus","38555","Middle Campanian","Late Campanian","83.5","70.6","73277","-103.566101","29.297800"
"1518502","occ","","F","212186","cf. Continuoolithus sp.","genus","67338","","Continuoolithus","genus","67338","Middle Campanian","Late Campanian","83.5","70.6","73277","-103.566101","29.297800"
"1518842","occ","","","182155","Pelagornis sp.","genus","39666","","Pelagornis","genus","39666","Rupelian","","33.9","28.1","73281","-79.986603","32.834515"
"1519124","occ","","","212302","n. gen. Onactornis n. sp. depressus","species","181151","","Onactornis depressus","species","181151","Huayquerian","","9","6.8","73330","-62.768612","-37.175556"
"1519138","occ","","","212306","Macranhinga paranensis","species","367945","species not entered","Macranhinga","genus","367945","Huayquerian","","9","6.8","73335","-60.280834","-31.575832"
"1519564","occ","","","103743","n. gen. Ambopteryx n. sp. longibrachium","species","424316","","Ambopteryx longibrachium","species","424316","Late Jurassic","","163.5","145","73365","119.400002","41.233334"
"1519629","occ","","","212362","n. gen. Shishugounykus n. sp. inexpectus","species","424326","","Shishugounykus inexpectus","species","424326","Oxfordian","","163.5","157.3","73370","88.921700","45.171223"
"1520135","occ","","","71280","cf. Lophonetta specularioides","species","372555","","Lophonetta specularioides","species","372553","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520136","occ","","","71280","Anas cf. flavirostris","species","372552","","Anas flavirostris","species","372552","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520137","occ","","","71280","Anas cf. georgica","species","403823","","Anas georgica","species","403823","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520138","occ","","","71280","Podiceps major","species","39553","species not entered","Podiceps","genus","39553","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520139","occ","","","71280","Zenaida sp.","genus","161741","","Zenaida","genus","161741","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520140","occ","","","71280","Columbidae indet.","family","39353","","Columbidae","family","39353","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520141","occ","","","71280","Fulica cf. rufifrons","species","403813","","Fulica rufifrons","species","403813","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520142","occ","","","71280","Geranoaetus melanoleucus","species","369150","","Geranoaetus melanoleucus","species","369149","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520143","occ","","","71280","Milvago cf. chimango","species","289541","species not entered","Milvago","genus","289541","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520145","occ","","","71280","Fulica cf. armillata","species","403812","","Fulica armillata","species","403812","Late Pleistocene","","0.126","0.0117","73399","-71.166664","-34.500000"
"1520195","occ","","","212474","Coragyps sp.","genus","137185","","Coragyps","genus","137185","Late Pleistocene","","0.126","0.0117","73404","-76.201942","-10.131944"
"1520916","occ","","","212620","cf. Saurornitholestinae indet.","subfamily","143992","","Saurornitholestinae","subfamily","143992","Late Campanian","Early Maastrichtian","83.5","66","73432","-74.669998","39.880001"
"1521049","occ","","","212637","n. gen. Jinbeisaurus n. sp. wangi","species","424532","","Jinbeisaurus wangi","species","424532","Cenomanian","Campanian","100.5","72.1","73450","114.043900","40.189999"
"1521057","occ","","","199805","cf. Mononykus sp.","genus","53210","","Mononykus","genus","53210","Maastrichtian","","72.1","66","73451","100.333336","43.500000"
"1521091","occ","","","212647","n. gen. Thanatotheristes n. sp. degrootorum","species","424538","","Thanatotheristes degrootorum","species","424538","Middle Campanian","","83.5","70.6","73452","-111.690834","49.943333"
"1521092","occ","","","212648","Thanatotheristes degrootorum","species","424538","","Thanatotheristes degrootorum","species","424538","Middle Campanian","","83.5","70.6","73452","-111.771667","50.113609"
"1523318","occ","","","213175","Leptosomus macrurus","species","99161","species not entered","Leptosomus","genus","99161","Late Santonian","","85.8","83.5","73590","35.650002","33.994999"
"1523373","occ","","","83729","Torvosaurus sp.","genus","38587","","Torvosaurus","genus","38587","Kimmeridgian","Tithonian","157.3","145","73599","-55.897221","-31.868889"
"1523374","occ","","","83735","Torvosaurus sp.","genus","38587","","Torvosaurus","genus","38587","Kimmeridgian","Tithonian","157.3","145","73599","-56.127220","-31.797501"
"1523375","occ","","","213192","Torvosaurus sp.","genus","38587","","Torvosaurus","genus","38587","Tithonian","Neocomian","152.1","130","73599","-55.972778","-31.706667"
"1523450","occ","","","213192","Ceratosaurus sp.","genus","38600","","Ceratosaurus","genus","38600","Tithonian","Neocomian","152.1","130","73612","-55.972778","-31.706667"
"1523451","occ","","","83729","Ceratosaurus sp.","genus","38600","","Ceratosaurus","genus","38600","Kimmeridgian","Tithonian","157.3","145","73612","-55.897221","-31.868889"
"1523574","occ","","","149725","cf. Torvosaurus sp.","genus","38587","","Torvosaurus","genus","38587","Late Oxfordian","Kimmeridgian","161.2","152.1","73619","9.686667","52.037498"
"1523588","occ","","","213292","Allosaurus sp.","genus","38590","","Allosaurus","genus","38590","Late Kimmeridgian","","155.7","150.8","73619","10.067778","51.778332"
"1523592","occ","","","51859","cf. Torvosaurus sp.","genus","38587","","Torvosaurus","genus","38587","Late Kimmeridgian","","155.7","150.8","73619","10.483300","51.900002"
"1523630","occ","","","136242","Ichthyornis sp.","genus","36624","","Ichthyornis","genus","36624","Early Turonian","","93.5","89.3","40827","-117.604599","55.714001"
"1523741","occ","","","24563","Allosaurus sp.","genus","38590","","Allosaurus","genus","38590","Kimmeridgian","","157.3","152.1","73624","-8.800000","39.700001"
"1523742","occ","","","24563","Allosaurus sp.","genus","38590","","Allosaurus","genus","38590","Kimmeridgian","","157.3","152.1","73624","-8.800000","39.700001"
"1523743","occ","","","24563","Allosaurus sp.","genus","38590","","Allosaurus","genus","38590","Kimmeridgian","","157.3","152.1","73624","-8.800000","39.700001"
"1523744","occ","","","24563","Allosaurus sp.","genus","38590","","Allosaurus","genus","38590","Kimmeridgian","","157.3","152.1","73624","-8.800000","39.700001"
"1523745","occ","","","24563","Allosaurus sp.","genus","38590","","Allosaurus","genus","38590","Kimmeridgian","","157.3","152.1","73624","-8.800000","39.700001"
"1524584","occ","","","213406","Labrosaurus n. sp. stechowi","species","64343","nomen dubium","Ceratosaurus","genus","38600","Late Kimmeridgian","Early Tithonian","155.7","145","70690","39.389999","-9.839167"
"1524704","occ","","","213431","Labrosaurus stechowi","species","64343","nomen dubium","Ceratosaurus","genus","38600","Late Kimmeridgian","Early Tithonian","155.7","145","12560","39.221111","-10.109722"
"1524760","occ","","","213455","n. gen. Yunyangosaurus n. sp. puanensis","species","425463","","Yunyangosaurus puanensis","species","425463","Toarcian","Aalenian","182.7","170.3","73693","108.917221","30.861668"
"1526034","occ","","","213667","Spatula clypeata","species","335674","","Spatula clypeata","species","83437","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526035","occ","","","213667","Anatini indet.","tribe","83433","","Anatini","tribe","83433","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526037","occ","","","213667","Palaeocryptonyx donnezani","species","370450","","Palaeocryptonyx donnezani","species","370450","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526039","occ","","","213667","Columba livia","species","94497","","Columba livia","species","94497","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526040","occ","","","213667","Columba sp.","genus","39354","","Columba","genus","39354","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526041","occ","","","213667","Rallus aquaticus","species","369037","","Rallus aquaticus","species","369037","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526042","occ","","","213667","Gallinula chloropus","species","368188","","Gallinula chloropus","species","186245","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526043","occ","","","213667","Calidris sp.","genus","83484","","Calidris","genus","83484","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
